song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
Honey (I Miss You),O.C. Smith,47,76.0,47,3,6bdaaeb6-74c2-41ad-bd0a-ee1f44a28769,not_danceable,cla,female,not_aggressive,voice,100.759040833,C,0.393719226122,not_happy
Cloud Nine,Mongo Santamaria,49,67.0,49,4,64c8d030-45d7-4807-9990-bf916ebf0eca,danceable,pop,female,not_aggressive,instrumental,132.11895752,F,0.938202142715,happy
To Susan On The West Coast Waiting,Donovan,50,57.0,50,3,1a6d1115-cc12-4db7-b113-52c9e8f426b7,not_danceable,rhy,female,not_aggressive,voice,110.336372375,C,0.863451719284,not_happy
Home Cookin,Jr. Walker & The All Stars,53,42.0,42,6,89db6ec7-5b49-42d6-8f4f-16338aea991f,danceable,roc,male,not_aggressive,instrumental,108.864440918,C#,0.970681786537,not_happy
"Mr. Sun, Mr. Moon",Paul Revere & The Raiders Featuring Mark Lindsay,61,82.0,61,2,aafc17cd-16f5-4144-8dd3-21be2466609a,not_danceable,roc,male,not_aggressive,voice,135.789581299,G,0.946098506451,happy
Glad She's A Woman,Bobby Goldsboro,64,90.0,64,3,798f2ddc-9273-4ff0-8197-55b75459a25a,not_danceable,cla,male,not_aggressive,voice,88.0124893188,D,0.667190849781,not_happy
Do Your Thing,The Watts 103rd Street Rhythm Band,66,68.0,66,4,98f7f472-bce3-47ad-9a1b-f67b9329537e,danceable,jaz,male,not_aggressive,voice,128.116348267,A,0.256167173386,not_happy
The Greatest Love,Dorsey Burnette,67,74.0,67,5,bde26b4b-c951-4783-af3b-c6b08706ba45,danceable,pop,male,not_aggressive,voice,93.4431381226,G,0.807685434818,happy
Lovin' Things,The Grass Roots,69,83.0,69,2,da8ff273-b643-4ff0-a5b9-f07f55b62e80,danceable,roc,male,not_aggressive,voice,130.332595825,G#,0.936711072922,happy
Mendocino,Sir Douglas Quintet,70,80.0,70,6,645e673e-2431-436f-bebc-ac32ce32e2a3,not_danceable,roc,female,not_aggressive,instrumental,133.591720581,D,0.85417509079,happy
Witchi Tai To,Everything Is Everything,72,72.0,72,3,0d0614cb-dab6-4a58-8d08-8a0133628516,not_danceable,rhy,male,not_aggressive,voice,108.649162292,D,0.79800671339,happy
Grits Ain't Groceries (All Around The World),Little Milton,73,73.0,73,4,3de0b2de-7621-4372-9b0a-f40dec5ad9bd,not_danceable,pop,female,not_aggressive,instrumental,117.832229614,A,0.870672702789,not_happy
Hello It's Me,Nazz,77,87.0,77,2,413b276c-2fd9-4b8a-bb06-d51aa5c029fc,not_danceable,jaz,female,not_aggressive,voice,154.425094604,A,0.568808197975,not_happy
Long Line Rider,Bobby Darin,79,81.0,79,3,b9d4fa66-3e31-4615-866f-7488a940b64e,danceable,rhy,male,not_aggressive,voice,122.148612976,F,0.945202827454,not_happy
Soul Experience,Iron Butterfly,81,,81,1,06135a9e-684f-4614-8a3e-71831e743eb9,danceable,rhy,female,not_aggressive,voice,109.700454712,C,0.617382705212,not_happy
